date,unemp,GDP,gGDP
2004-04-01,5,15366.85,0.774952324
2004-07-01,4.8,15512.619,0.948593889
2004-10-01,4.8,15670.88,1.020208129
2005-01-01,4.7,15844.727,1.109363354
2005-04-01,4.5,15922.782,0.492624455
2005-07-01,4.4,16047.587,0.783814035
2005-10-01,4.4,16136.734,0.55551654
2006-01-01,4.2,16353.835,1.345383768
2006-04-01,4.1,16396.151,0.258752763
2006-07-01,4.1,16420.738,0.149955926
2006-10-01,3.9,16561.866,0.859449801
2007-01-01,4,16611.69,0.300835667
2007-04-01,3.9,16713.314,0.611761958
2007-07-01,4.1,16809.587,0.576025796
2007-10-01,4.3,16915.191,0.628236732
2008-01-01,4.4,16843.003,-0.426764321
2008-04-01,4.7,16943.291,0.595428262
2008-07-01,5.4,16854.295,-0.525258051
2008-10-01,6.3,16485.35,-2.189026595
2009-01-01,7.7,16298.262,-1.134874297
2009-04-01,8.6,16269.145,-0.178650951
2009-07-01,8.9,16326.281,0.351192395
2009-10-01,9.2,16502.754,1.080913651
2010-01-01,9.2,16582.71,0.484500951
2010-04-01,9,16743.162,0.967586118
2010-07-01,8.8,16872.266,0.771084936
2010-10-01,8.9,16960.864,0.525110261
2011-01-01,8.4,16920.632,-0.237204897
2011-04-01,8.5,17035.114,0.676582293
2011-07-01,8.4,17031.313,-0.022312736
2011-10-01,8,17222.583,1.123049057
2012-01-01,7.7,17367.01,0.83859082
2012-04-01,7.5,17444.525,0.446334746
2012-07-01,7.4,17469.65,0.144027997
2012-10-01,7.2,17489.852,0.115640554
2013-01-01,7.1,17662.4,0.986560664
2013-04-01,6.9,17709.671,0.267636335
2013-07-01,6.7,17860.45,0.851393569
2013-10-01,6.4,18016.147,0.871741753
2014-01-01,6.1,17953.974,-0.345095985
2014-04-01,5.7,18185.911,1.291842129
2014-07-01,5.6,18406.941,1.215391409
2014-10-01,5.2,18500.031,0.505733136
2015-01-01,5.1,18666.621,0.900484978
2015-04-01,5,18782.243,0.619405087
2015-07-01,4.7,18857.418,0.400245061
2015-10-01,4.6,18892.206,0.184479126
