Date,open,high,low,close,volume,adjusted,rmrf,SMB,HML,RF
2019-06-28,190.5500031,193.1999969,189.9400024,193,16378900,192.6042023,0.0693,0.0028,-0.007,0.0018
2019-07-31,196.9499969,198.7599945,192.6799927,194.2299957,14593500,193.8316803,0.0119,-0.0193,0.0047,0.0019
2019-08-30,186.7799988,186.8000031,183.4600067,185.6699982,10774500,185.2892456,-0.0258,-0.0239,-0.0479,0.0016
2019-09-30,177.8699951,178.6699982,176.8500061,178.0800018,10740000,177.7148132,0.0143,-0.0096,0.0675,0.0018
2019-10-31,196.6999969,198.0899963,188.25,191.6499939,42286500,191.2569733,0.0206,0.003,-0.019,0.0016
2019-11-29,201.6000061,203.8000031,201.2100067,201.6399994,7985200,201.2265015,0.0388,0.0079,-0.0201,0.0012
2019-12-31,204,205.5599976,203.6000061,205.25,8953500,204.8290863,0.0277,0.0074,0.0177,0.0014
2020-01-31,208.4299927,208.6900024,201.0599976,201.9100037,31359900,201.4959412,-0.0011,-0.0312,-0.0628,0.0013
2020-02-28,182.6999969,192.7400055,181.8200073,192.4700012,32568900,192.0753021,-0.0813,0.0107,-0.038,0.0012
2020-03-31,165.4799957,170.9299927,164.1999969,166.8000031,23676300,166.4579315,-0.1338,-0.0482,-0.1383,0.0013
2020-04-30,206.9199982,209.6900024,201.5700073,204.7100067,46230100,204.2902069,0.1365,0.0246,-0.0134,0
2020-05-29,225.1999969,227.4900055,222.8800049,225.0899963,23241500,224.6284027,0.0558,0.0249,-0.0486,1.00E-04
2020-06-30,220.5899963,227.5,218.4700012,227.0700073,33927100,226.6043549,0.0246,0.0269,-0.0221,1.00E-04
2020-07-31,255.8200073,255.8500061,249,253.6699982,53005100,253.1497803,0.0577,-0.0231,-0.0141,1.00E-04
2020-08-31,293.9500122,296.8800049,291.5499878,293.2000122,17345100,292.5987244,0.0763,-0.0024,-0.0297,1.00E-04
2020-09-30,261.980011,266.0799866,260.1000061,261.8999939,20142500,261.362915,-0.0363,2.00E-04,-0.027,1.00E-04
2020-10-30,274.5,276.7000122,259.1000061,263.1099854,47247800,262.5704041,-0.021,0.0438,0.0423,1.00E-04
2020-11-30,276.0299988,277.7000122,271.0100098,276.9700012,16693300,276.4020081,0.1247,0.058,0.0206,1.00E-04
